r_multiple,side,exit_type
2.6206642601514347,LONG,TP
-1.2984109972389737,LONG,SL
-1.2811723141931368,LONG,SL
-1.2369494691805478,LONG,SL
2.7983423159267606,LONG,TP
-1.1624277721527791,LONG,SL
-1.1401467101324056,LONG,SL
-1.1328072150040547,LONG,SL
-1.1164385237201948,LONG,SL
2.880674315293429,LONG,TP
2.881636298215393,LONG,TP
-1.0956137460493753,LONG,SL
2.883118868316992,LONG,TP
-1.107587880306763,LONG,SL
-1.0991688612209134,LONG,SL
-1.1047663054135155,LONG,SL
-1.1060828146646433,LONG,SL
-1.1013321074100613,LONG,SL
-1.140845690953349,LONG,SL
-1.1597772973592793,LONG,SL
-1.1576195859058185,LONG,SL
-1.1626856241706363,LONG,SL
-1.1510065445783173,LONG,SL
-1.1529699318723259,LONG,SL
-1.1339818098459156,LONG,SL
-1.1162744326183425,LONG,SL
2.8980299586376947,LONG,TP
2.9172858701273876,LONG,TP
-1.0733999449285594,LONG,SL
2.8858420826940447,LONG,TP
-1.110467807790573,LONG,SL
-1.1015411139998283,LONG,SL
-1.2798868134564905,LONG,SL
-1.2496993476121856,LONG,SL
-1.1949421316596744,LONG,SL
2.860479189791308,LONG,TP
2.8814055514467167,LONG,TP
-1.127718752953286,LONG,SL
-1.1459903811821284,LONG,SL
2.8879671938347538,LONG,TP
-1.13649908125458,LONG,SL
-1.1213759948911202,LONG,SL
-1.105205002356946,LONG,SL
-1.1037501928137499,LONG,SL
-1.096818485148208,LONG,SL
-1.0829881638691714,LONG,SL
-1.0777067773920797,LONG,SL
-1.067379428924702,LONG,SL
-1.0895095025547201,LONG,SL
-1.065091996494075,LONG,SL
-1.0525622180976473,LONG,SL
-1.0657629566266396,LONG,SL
2.9498363546736903,LONG,TP
-1.0562978991436214,LONG,SL
-1.0764402733481955,LONG,SL
-1.0630957370680303,LONG,SL
-1.0521668454411721,LONG,SL
-1.0597941244023603,LONG,SL
-1.0525511143700494,LONG,SL
-1.0489389671138767,LONG,SL
-1.0486181719949275,LONG,SL
-1.0512984982479487,LONG,SL
-1.0491248979575423,LONG,SL
-1.0411612881524233,LONG,SL
-1.0381129795667206,LONG,SL
-1.0315815319711465,LONG,SL
-1.0275928564630485,LONG,SL
2.9715310001196973,LONG,TP
-1.0349140815169264,LONG,SL
2.9600797739709974,LONG,TP
-1.062637996485769,LONG,SL
-1.074421385369512,LONG,SL
-1.0723953649274167,LONG,SL
-1.0591169098158648,LONG,SL
2.936797837118219,LONG,TP
-1.0733380620353044,LONG,SL
2.9006278831566763,LONG,TP
-1.0872629830940004,LONG,SL
-1.0807611631712053,LONG,SL
-1.0852322667071335,LONG,SL
-1.0916452064163704,LONG,SL
-1.090333701999944,LONG,SL
2.9186888402715843,LONG,TP
-1.1122673306934008,LONG,SL
-1.1169030841428016,LONG,SL
-1.1018889834801853,LONG,SL
-1.0879030517790442,LONG,SL
-1.085347275310079,LONG,SL
-1.1760653583087035,LONG,SL
-1.1744002774955864,LONG,SL
2.897715400040788,LONG,TP
-1.1034332605349948,LONG,SL
-1.0840845068486513,LONG,SL
-1.080580081616459,LONG,SL
-1.0786269046542847,LONG,SL
-1.0745471294787734,LONG,SL
2.926385478960057,LONG,TP
-1.076933164545445,LONG,SL
2.924597461517044,LONG,TP
2.9184266825597005,LONG,TP
-1.074379992596684,LONG,SL
-1.0642629044018328,LONG,SL
-1.0728662238211335,LONG,SL
-1.0848842344997838,LONG,SL
-1.0822393955666945,LONG,SL
2.9266117590184626,LONG,TP
-1.0672405797849625,LONG,SL
2.9286525513706048,LONG,TP
-1.0567388699995668,LONG,SL
-1.07118163552609,LONG,SL
2.9308721397120827,LONG,TP
-1.0593655931483446,LONG,SL
2.9323019081694657,LONG,TP
-1.059963064103976,LONG,SL
2.9347232230444966,LONG,TP
-1.061786536871964,LONG,SL
-1.0699683500058144,LONG,SL
-1.0649929358956234,LONG,SL
-1.078718590238608,LONG,SL
-1.0803240961627116,LONG,SL
-1.0767838746673923,LONG,SL
-1.1060317283319399,LONG,SL
-1.128299981125128,LONG,SL
-1.1361424359630696,LONG,SL
-1.1252107744170925,LONG,SL
2.9058974435448133,LONG,TP
2.922394776838218,LONG,TP
-1.0749246104985215,LONG,SL
2.9238706954388416,LONG,TP
2.929010182220954,LONG,TP
-1.0670080536205564,LONG,SL
-1.0647767402678054,LONG,SL
2.9140868089210015,LONG,TP
-1.0737753226226097,LONG,SL
2.9131810254829333,LONG,TP
-1.082732187589014,LONG,SL
2.9132315256079004,LONG,TP
-1.0802567677728798,LONG,SL
2.930888040041872,LONG,TP
-1.089882628051984,LONG,SL
2.909450639056095,LONG,TP
-1.0824852933494782,LONG,SL
-1.0787309977736186,LONG,SL
-1.0900776534172403,LONG,SL
-1.085796797924657,LONG,SL
-1.08192623751243,LONG,SL
-1.0982439255145091,LONG,SL
-1.0889039711719128,LONG,SL
-1.0827020651542751,LONG,SL
-1.0946468833918048,LONG,SL
-1.0898616057458144,LONG,SL
-1.0792931168807567,LONG,SL
-1.1196754334075272,LONG,SL
-1.1257522153997586,LONG,SL
-1.1293469763649895,LONG,SL
-1.1112621405143301,LONG,SL
-0.1031362858605578,LONG,END
