entry_i,exit_i,side,entry_px,exit_px,exit_type,pnl_pct,pnl_usd,hold,equity,year
211,226,LONG,17196.5,17375.917303085324,TP,2.420840404810894,0.12104202024054468,15,10.121042020240544,2023
231,235,LONG,17430.5,17369.29432252413,SL,-1.0653531521739241,-0.05391242009774003,4,10.067129600142804,2023
237,247,LONG,17395.0,17336.5139502764,SL,-1.0280583461282007,-0.051747983034905326,10,10.015381617107899,2023
260,261,LONG,18201.5,18087.216334354638,SL,-1.7572012010735536,-0.08799520303395994,1,9.927386414073938,2023
281,300,LONG,18793.5,19410.93819760492,TP,8.025954087914961,0.39838373786174086,19,10.325770151935679,2023
320,416,LONG,20819.5,20515.840736005313,SL,-3.8338323326050845,-0.1979363573376976,96,10.127833794597981,2023
425,464,LONG,20710.5,21339.407722785618,TP,7.4041530598684195,0.3749401579005571,39,10.502773952498538,2023
473,482,LONG,22555.0,23204.44508869895,TP,7.0109603047988145,0.368172656356211,9,10.87094660885475,2023
486,494,LONG,22946.0,22722.176778403547,SL,-2.6260864812652702,-0.14274022964034996,8,10.7282063792144,2023
499,516,LONG,22762.5,22524.82899354319,SL,-2.7978350516947788,-0.1500787592479079,17,10.578127619966493,2023
521,534,LONG,22688.5,22490.686042369198,SL,-2.3671720544637327,-0.1252012404526782,13,10.452926379513814,2023
544,553,LONG,22981.0,22773.804467931528,SL,-2.441487338110525,-0.12760343700892232,9,10.325322942504892,2023
555,558,LONG,22917.5,22761.603538102372,SL,-1.888126834271052,-0.09747759660129011,3,10.227845345903601,2023
572,582,LONG,22623.0,22444.085166751083,SL,-2.164634257712482,-0.11069772209164053,10,10.117147623811961,2023
584,589,LONG,22633.5,23133.969818375765,TP,5.340476432895542,0.2701519422654646,5,10.387299566077425,2023
594,598,LONG,23181.0,22921.764401489156,SL,-2.9832766976278444,-0.15494094373379302,4,10.232358622343632,2023
603,617,LONG,22992.5,22795.078321086192,SL,-2.33408778855939,-0.11941611654286327,14,10.112942505800769,2023
625,636,LONG,22946.5,23471.268161777636,TP,5.529800697030414,0.27961278258802796,11,10.392555288388797,2023
639,653,LONG,23066.0,22887.1230421363,SL,-2.126251385846066,-0.1104859254220927,14,10.282069362966704,2023
658,665,LONG,22992.5,23285.159284182104,TP,2.994616822682435,0.15395428943163877,7,10.436023652398342,2023
669,675,LONG,23243.0,23592.843601224748,TP,3.5753920666947785,0.1865643808731205,6,10.622588033271462,2023
691,696,LONG,23694.5,23544.494633713755,SL,-1.7702023812091947,-0.09402065315550719,5,10.528567380115955,2023
708,714,SHORT,22694.5,22895.391164988352,SL,-2.4004939521508546,-0.1263688116039056,6,10.40219856851205,2023
721,734,LONG,22880.5,23341.17501474059,TP,4.84598937676834,0.25204471879022117,13,10.654243287302272,2023
737,744,LONG,23118.5,22950.437800703232,SL,-2.0048994776560787,-0.10680343400766555,7,10.547439853294607,2023
746,755,LONG,22994.0,23381.224340692475,TP,4.022558501048941,0.21213846923086307,9,10.75957832252547,2023
768,774,LONG,23801.5,23624.296623637758,SL,-2.0487626973325552,-0.11021911353109087,6,10.64935920899438,2023
777,781,LONG,23899.5,23719.546462006096,SL,-2.0698985647597743,-0.11021546671154375,4,10.539143742282835,2023
785,792,LONG,23560.5,23357.215831254092,SL,-2.344544298146338,-0.1235474468415694,7,10.415596295441265,2023
793,797,LONG,23420.0,23267.324877137125,SL,-1.8172515250093266,-0.09463879125886066,4,10.320957504182404,2023
800,803,LONG,23518.0,23337.930902605818,SL,-2.1016625286395736,-0.10845584823110788,3,10.212501655951296,2023
805,844,LONG,23388.0,23217.078845721317,SL,-2.014517640228773,-0.10286632368389723,39,10.109635332267398,2023
845,849,SHORT,23171.0,22877.494090050768,TP,2.9792376240692158,0.1505950297375526,4,10.26023036200495,2023
850,854,SHORT,22852.0,22970.067638807974,SL,-1.4791554219321585,-0.07588237685116288,4,10.184347985153787,2023
855,856,SHORT,22934.0,23052.15036762199,SL,-1.47543895114232,-0.07513191854641851,1,10.109216066607368,2023
858,871,SHORT,22874.0,22995.571012268774,SL,-1.5162030282064238,-0.07663812006491562,13,10.032577946542453,2023
872,897,SHORT,22994.5,23135.462319431783,SL,-1.7200656073384988,-0.08628346139395186,25,9.946294485148501,2023
899,901,SHORT,23088.5,23255.624401423112,SL,-1.9971065294747612,-0.09931904830184439,2,9.846975436846657,2023
906,916,LONG,23243.0,23089.95851641728,SL,-1.8336029512404026,-0.09027721610896891,10,9.756698220737688,2023
917,920,SHORT,23108.5,22789.147379978527,TP,3.2674258933019575,0.1593964419978573,3,9.916094662735546,2023
921,931,SHORT,23005.0,22616.461430642616,TP,4.034827421836397,0.2000486533136546,10,10.1161433160492,2023
932,934,SHORT,22565.5,22714.42257777939,SL,-1.8373922888855685,-0.09293661861085042,2,10.02320669743835,2023
940,942,SHORT,22695.5,22830.565466945474,SL,-1.6753000809133154,-0.08395939495614677,2,9.939247302482205,2023
943,947,SHORT,22599.5,22190.052663032937,TP,4.3418849085938085,0.21577533932714602,4,10.155022641809351,2023
948,973,SHORT,21996.5,21450.140040079074,TP,6.022123802888253,0.30577401785054625,25,10.460796659659897,2023
974,988,SHORT,21564.0,21719.564726873283,SL,-1.9910235447190214,-0.10413846222950472,14,10.356658197430392,2023
994,997,SHORT,21644.9,21726.603925173426,SL,-1.131185639266334,-0.05857651511861608,3,10.298081682311775,2023
998,1000,SHORT,21813.5,21901.464288496412,SL,-1.195640469163754,-0.061564016070629564,2,10.236517666241145,2023
1005,1007,SHORT,21912.7,22005.26212467247,SL,-1.2435328562029264,-0.06364723025536283,2,10.172870435985782,2023
1010,1012,SHORT,21983.2,21700.432915288187,TP,3.0282179654442314,0.15402834507194318,2,10.326898781057725,2023
1013,1025,SHORT,21780.6,21445.135537495677,TP,3.662996112415669,0.18913695044162276,12,10.516035731499349,2023
1027,1038,SHORT,21653.2,21777.880742671605,SL,-1.6270186701227083,-0.08554893235413476,11,10.430486799145214,2023
1039,1048,SHORT,21727.2,21863.211138307404,SL,-1.7524869553762688,-0.0913964602686318,9,10.339090338876582,2023
1055,1057,SHORT,22001.8,22186.083845801964,SL,-2.281463287117029,-0.11794127515166643,2,10.221149063724916,2023
1059,1065,LONG,22244.0,22073.76096626536,SL,-2.1008140817146344,-0.10736366942188827,6,10.113785394303028,2023
1096,1100,LONG,24663.1,24459.27898191154,SL,-2.2535523017023427,-0.11395972177127561,4,9.999825672531752,2023
1121,1128,LONG,23751.9,24474.378528855705,TP,7.416928791546158,0.3708399747052159,7,10.370665647236969,2023
1138,1176,LONG,24612.0,24326.21790207917,SL,-3.0903735771252925,-0.1602461554671105,38,10.210419491769859,2023
1188,1197,LONG,24499.9,25100.824421484034,TP,5.94440688006926,0.3034744393763501,9,10.513893931146209,2023
1202,1205,LONG,24884.2,24674.54807513285,SL,-2.2937755168656246,-0.12058256243092624,3,10.393311368715283,2023
1208,1215,LONG,24873.5,24690.77251372248,SL,-2.024067896330632,-0.10518383938992393,7,10.28812752932536,2023
1226,1228,LONG,24609.7,24389.83156765051,SL,-2.4210545775597487,-0.12454059124695815,2,10.163586938078401,2023
1241,1244,LONG,24179.9,23965.767712945417,SL,-2.401449262141135,-0.12203669176577828,3,10.041550246312623,2023
1246,1250,SHORT,23720.1,23939.739121454895,SL,-2.5024050958353734,-0.12564013253229828,4,9.915910113780324,2023
1256,1266,LONG,24181.1,23989.174886919907,SL,-2.1717471297841224,-0.10767424664399886,10,9.808235867136325,2023
1267,1268,SHORT,23912.7,24136.62955433787,SL,-2.528615331370658,-0.12400627793670246,1,9.684229589199623,2023
1277,1280,SHORT,23868.9,24087.830259161583,SL,-2.480549314815332,-0.12011104536001745,3,9.564118543839605,2023
1291,1294,SHORT,23881.1,23410.607219673322,TP,4.737867553490795,0.22656763463298646,3,9.790686178472592,2023
1296,1299,SHORT,23062.5,23272.252794213866,SL,-2.4612430267085745,-0.12048629041728846,3,9.670199888055304,2023
1301,1345,SHORT,23116.0,23327.76390737871,SL,-2.4777308723255493,-0.1198007640209685,44,9.550399124034335,2023
1346,1347,SHORT,23492.5,23616.043897277807,SL,-1.502216369881952,-0.07173382951515317,1,9.478665294519182,2023
1350,1364,SHORT,23548.3,23690.7171243792,SL,-1.6994682140452009,-0.08054345189804371,14,9.398121842621139,2023
1368,1373,SHORT,23328.1,23504.263804515267,SL,-2.075392761468668,-0.09752397021788246,5,9.300597872403257,2023
1376,1391,SHORT,23417.2,23584.61163509614,SL,-1.9747721236541491,-0.0918328070586952,15,9.208765065344561,2023
1394,1402,SHORT,23252.5,23398.667747855507,SL,-1.7590272320772635,-0.08099234261871421,8,9.127772722725847,2023
1415,1418,LONG,23687.8,23508.34202514656,SL,-2.0814915785070593,-0.09499691026440152,3,9.032775812461447,2023
1424,1448,SHORT,23509.9,22961.067038098892,TP,5.648689880657816,0.25511674663050826,24,9.287892559091954,2023
1449,1496,SHORT,22345.0,22580.753507352707,SL,-2.8251539198110227,-0.13119863035051132,47,9.156693928741444,2023
1497,1508,SHORT,22344.0,22464.648544759482,SL,-1.537398683757178,-0.0703874459680722,11,9.086306482773372,2023
1516,1534,SHORT,22479.0,22562.90531233659,SL,-1.1206521902285478,-0.05091294630503916,18,9.035393536468332,2023
1535,1557,SHORT,22516.2,22257.983762427357,TP,2.679505062717559,0.12105191362306203,22,9.156445450091393,2023
1559,1560,SHORT,22229.9,22345.999685417464,SL,-1.4931703518398716,-0.06836066437157778,1,9.088084785719815,2023
1561,1572,SHORT,22191.4,21828.116119864015,TP,3.905120115630219,0.17745031354633697,11,9.265535099266152,2023
1573,1582,SHORT,22021.5,22152.609475830955,SL,-1.67592580922004,-0.07764174704547155,9,9.18789335222068,2023
1583,1589,SHORT,22131.3,21721.935251126302,TP,4.436773640428917,0.20382301518102391,6,9.391716367401704,2023
1590,1609,SHORT,21702.0,21207.465329967574,TP,5.509378974661618,0.25871262345274165,19,9.650428990854445,2023
1612,1613,SHORT,20213.8,20439.262832561115,SL,-2.97597659224285,-0.1435972539094231,1,9.506831736945022,2023
1615,1640,SHORT,20113.0,20342.306028839932,SL,-3.0377216084116405,-0.14439554097425733,25,9.362436195970766,2023
1646,1647,SHORT,19850.1,20099.075433440088,SL,-3.3231949516638255,-0.1555660035086236,1,9.206870192462143,2023
1680,1681,SHORT,20776.5,20922.875619170823,SL,-1.9488122899769464,-0.08971230891646319,1,9.11715788354568,2023
1682,1683,SHORT,20766.9,20972.843263468723,SL,-2.66672491403052,-0.12156476036600516,1,8.995593123179674,2023
1684,1685,SHORT,21267.9,21496.422507786807,SL,-2.8737373316924315,-0.12925485889398572,1,8.866338264285687,2023
1690,1696,LONG,22218.8,21908.95526024606,SL,-3.673790210924281,-0.1628653336103807,6,8.703472930675307,2023
1717,1723,LONG,24328.4,25326.529830073236,TP,10.069337996675038,0.4381910534194076,6,9.141663984094714,2023
1726,1729,LONG,25921.8,25487.800141687454,SL,-4.373164752375862,-0.1998900135665345,3,8.94177397052818,2023
1734,1751,LONG,24684.7,24204.403613120445,SL,-5.051812579042434,-0.2258608311163424,17,8.715913139411837,2023
1754,1784,LONG,24384.0,25628.0857880019,TP,12.567644644048368,0.5476924954225998,30,9.263605634834438,2023
1788,1793,LONG,25750.0,26624.002775363948,TP,8.297963838484918,0.3843453228592065,5,9.647950957693643,2023
1811,1823,LONG,27311.5,26934.935706186527,SL,-3.6344389617328985,-0.17532444430765004,12,9.472626513385993,2023
1825,1829,LONG,27314.1,26950.788987599262,SL,-3.512806457111321,-0.16637751791013108,4,9.306248995475862,2023
1831,1847,LONG,27072.0,28036.12354754197,TP,8.715827677507844,0.4055583128427404,16,9.711807308318603,2023
1853,1856,LONG,28106.1,27775.587003198387,SL,-3.127368896801867,-0.15186202053884332,3,9.55994528777976,2023
1859,1864,LONG,27427.8,28464.576984589352,TP,9.262556006946872,0.4427476432570393,5,10.0026929310368,2023
1865,1868,LONG,28086.2,27720.578776478447,SL,-3.441956134343137,-0.17214415146966422,3,9.830548779567135,2023
1879,1886,LONG,27830.9,27481.53170317725,SL,-3.3258129616968097,-0.16347283275838567,7,9.66707594680875,2023
1889,1921,LONG,27950.1,28876.103083021626,TP,8.095145527400877,0.3912819330692673,32,10.058357879878017,2023
1970,1971,LONG,27813.7,27498.468181168955,SL,-3.0209221879059984,-0.1519275824661132,1,9.906430297411903,2023
1973,2028,LONG,27272.1,26938.528496365958,SL,-3.245309112921639,-0.16074714260356937,55,9.745683154808335,2023
2030,2057,SHORT,27133.7,27392.60701532802,SL,-2.572974661841358,-0.12537697909827997,27,9.620306175710054,2023
2059,2063,SHORT,27173.0,27422.76905011242,SL,-2.4854524722373523,-0.11955406884049412,4,9.50075210686956,2023
2065,2068,LONG,27354.0,27968.428468130336,TP,5.428026688330208,0.2578516799764871,3,9.758603786846047,2023
2073,2088,LONG,28349.9,29098.193483359173,TP,6.411231242078215,0.31282332738645074,15,10.071427114232497,2023
2092,2100,LONG,28601.1,28315.83912814725,SL,-2.680943187960853,-0.13500461957472923,8,9.936422494657768,2023
2109,2117,LONG,28008.1,27736.588142806144,SL,-2.611011923281607,-0.12972058804157502,8,9.806701906616192,2023
2119,2123,LONG,27806.8,28556.574631930678,TP,6.55342876500243,0.3213376118231136,4,10.128039518439305,2023
2138,2140,LONG,28556.0,28334.025543368316,SL,-2.1308258915086404,-0.10790544418056587,2,10.020134074258738,2023
2142,2149,LONG,28425.5,28225.592353294007,SL,-1.9456717709978242,-0.09747946004949322,7,9.922654614209245,2023
2152,2171,LONG,28358.9,28204.921684746234,SL,-1.544907332916366,-0.07664790937744138,19,9.846006704831803,2023
2175,2177,LONG,28179.9,28044.82940541739,SL,-1.3857884483498213,-0.068222411769654,2,9.77778429306215,2023
2191,2194,LONG,28320.0,28125.602519394408,SL,-1.9035794544985316,-0.09306394645395778,3,9.684720346608191,2023
2205,2212,SHORT,27788.7,28063.072966074775,SL,-2.655886125248523,-0.12860757197734382,7,9.556112774630847,2023
2225,2245,LONG,28173.7,27961.494306350512,SL,-2.070512292044434,-0.09893024482018005,20,9.457182529810668,2023
2246,2249,SHORT,27940.1,28164.45219358742,SL,-2.1949390713296086,-0.10378969719688613,3,9.353392832613782,2023
2253,2254,LONG,28154.7,27957.710125962538,SL,-1.9366739748377868,-0.090572362376787,1,9.262820470236996,2023
2257,2259,LONG,28120.0,27926.535844638067,SL,-1.907487156489439,-0.08834355539922267,2,9.174476914837772,2023
2264,2266,SHORT,27838.5,28013.3848935419,SL,-1.7580308614140658,-0.08064506776807855,2,9.093831847069694,2023
2271,2345,SHORT,28027.8,28196.407585512545,SL,-1.6914316813355577,-0.07690797645435966,74,9.016923870615335,2023
2349,2355,LONG,28309.7,28188.99209468691,SL,-1.2534588878819959,-0.0565117168348906,6,8.960412153780444,2023
2356,2363,LONG,28253.5,28143.377000523833,SL,-1.161919093883655,-0.052056369852723314,7,8.908355783927721,2023
2370,2372,LONG,29101.9,29638.953787926373,TP,4.426062928248438,0.1971447164344502,2,9.105500500362172,2023
2378,2379,LONG,30100.3,29836.60615099616,SL,-2.3776264190376803,-0.10824739274110959,1,8.997253107621063,2023
2380,2413,LONG,30012.5,29745.722140399746,SL,-2.4097229037922037,-0.10840443442325029,33,8.888848673197813,2023
2428,2436,LONG,30008.7,30516.928742636002,TP,4.0465116585856675,0.17984414893749348,8,9.068692822135306,2023
2439,2442,LONG,30420.8,30231.593944056043,SL,-1.7424069710852073,-0.07900676795959469,3,8.989686054175712,2023
